abbaye
intergration;interrogation
interioriser;intérioriser
international
internet;Internet
interpreter;interpréter
intervenir
interview
invention
irlande;Irlande
israel;Israël
italie;Italie
japon;Japon
jardinage
jazz
jeunesse
justice2;justice
kidnapper
kilo;Kg (kilogramme)
kinesitherapie;kinésithérapie
kleptomanie
km;Km (kilomètre)
k watt;Kwatt (kilowatt)
la mode
langue
laos;Laos
leader
lecture labiale
lecture
liberte;liberté
licenciement
lille;Lille
limoges;Limoges
linguistique
loi
lyon;Lyon
machine
mafia
mairie
majeur
manifestation2;manifestation
marginal
maroc;Maroc
marseille;Marseille
mecanique;mécanique
medecin;médecin
medicament;médicament
memoire these;mémoire, thèse
mensuel
message
methode;méthode
metier;métier
metz;Metz
mexique;Mexique
microbe
microscope
militaire
mine
minorite;minorité
moderne
monaco;Monaco
monde
montagne
montpellier;Montpellier
moral
mulhouse;Mulhouse
musique
musulman
mutation
nancy;Nancy
nantes;Nantes
nationalite;nationalité
naturel
neurologique
neutre
nimes;Nîmes
niveau
normal
norvege;Norvège
notaire
nucleaire;nucléaire
objectif
objection
obligation
observateur
officiel
opression;oppression
oral
organiser
origine
orleans;Orléans
outil
paques;pâques
paris;Paris
pedagogie;pédagogie
pedophile;pédophile
pharmacie
philosophe
photocopie
photographie
physique
plastique
plombier
poeme;poème
poitiers;Poitiers
politique
positif
pouvoir
priori;a priori
prive2;privé
probleme;problème
production
programme
proposition
radioactif
recherche
reims;Reims
relation
rennes;Rennes
responsable
restauration
revision;révision
rival
roi
role;rôle
rome;Rome
roumanie;Roumanie
saint-etienne;Saint-Étienne
s'allier
sante;santé
scanner medical;scanner médical
schizophrene;schizophrène
sculpture
secretaria;secrétariat
segregation;ségrégation
seisme;séisme
selection2;sélection
social
soigner
soldat
sous titrage;sous-titrage
sport
statuts;statut social
strasbourg;Strasbourg
subvention
suede;Suède
symbole
sympathie
syndicat
tarif
taxe
technique
telecommunication;télécommunication
television;télévision
terre
theatre;théâtre
theorie;théorie
thermometre1;thermometre
timbre
toulouse;Toulouse
tourisme
tours
toxique
trajectoire
transport
trimestre
trophee;trophée
typique
urss;URSS
usine
vaccination
vaincre
vallee;vallée
vanite;vanité
verglas
vibration
victoire
ville
virus
voir
zoo
